caseNumber,caseLabel,discharge_Q_m3ps,includedInFigure,exclusionReason,nTransects,nSourceAcceptedTransects,uniform_nOneSolution,uniform_nTwoSolutions,uniform_shallow_nPairs,uniform_shallow_xMedian,uniform_shallow_xQ25,uniform_shallow_xQ75,uniform_shallow_xErrLow,uniform_shallow_xErrHigh,uniform_shallow_yMedian,uniform_shallow_yQ25,uniform_shallow_yQ75,uniform_shallow_yErrLow,uniform_shallow_yErrHigh,uniform_deep_nPairs,uniform_deep_xMedian,uniform_deep_xQ25,uniform_deep_xQ75,uniform_deep_xErrLow,uniform_deep_xErrHigh,uniform_deep_yMedian,uniform_deep_yQ25,uniform_deep_yQ75,uniform_deep_yErrLow,uniform_deep_yErrHigh,linear_nOneSolution,linear_nTwoSolutions,linear_shallow_nPairs,linear_shallow_xMedian,linear_shallow_xQ25,linear_shallow_xQ75,linear_shallow_xErrLow,linear_shallow_xErrHigh,linear_shallow_yMedian,linear_shallow_yQ25,linear_shallow_yQ75,linear_shallow_yErrLow,linear_shallow_yErrHigh,linear_deep_nPairs,linear_deep_xMedian,linear_deep_xQ25,linear_deep_xQ75,linear_deep_xErrLow,linear_deep_xErrHigh,linear_deep_yMedian,linear_deep_yQ25,linear_deep_yQ75,linear_deep_yErrLow,linear_deep_yErrHigh,power_nOneSolution,power_nTwoSolutions,power_shallow_nPairs,power_shallow_xMedian,power_shallow_xQ25,power_shallow_xQ75,power_shallow_xErrLow,power_shallow_xErrHigh,power_shallow_yMedian,power_shallow_yQ25,power_shallow_yQ75,power_shallow_yErrLow,power_shallow_yErrHigh,power_deep_nPairs,power_deep_xMedian,power_deep_xQ25,power_deep_xQ75,power_deep_xErrLow,power_deep_xErrHigh,power_deep_yMedian,power_deep_yQ25,power_deep_yQ75,power_deep_yErrLow,power_deep_yErrHigh
1,R1,123,1,,21,13,12,0,12,2.39902661820815,2.02635330929297,2.59239816280751,0.372673308915185,0.193371544599355,0.787792262835361,0.585963633007306,1.07652731365333,0.201828629828055,0.288735050817967,12,2.39902661820815,2.02635330929297,2.59239816280751,0.372673308915185,0.193371544599355,0.787792262835361,0.585963633007306,1.07652731365333,0.201828629828055,0.288735050817967,1,1,2,2.58373856418302,2.51937214596364,2.6481049824024,0.0643664182193797,0.0643664182193802,0.775888236368685,0.735878931980846,0.815897540756524,0.0400093043878387,0.0400093043878388,2,2.58373856418302,2.51937214596364,2.6481049824024,0.0643664182193797,0.0643664182193802,2.28769796244205,0.735878931980846,3.83951699290325,1.5518190304612,1.5518190304612,0,1,1,2.51937214596364,2.51937214596364,2.51937214596364,0,0,0.807725701195979,0.807725701195979,0.807725701195979,0,0,1,2.51937214596364,2.51937214596364,2.51937214596364,0,0,2.58507881442631,2.58507881442631,2.58507881442631,0,0
2,R2,117,1,,21,19,10,0,10,2.22859227996469,1.98806661373055,2.55184894275953,0.24052566623414,0.32325666279484,1.21008750673211,0.871488927955195,1.79846711206432,0.338598578776911,0.588379605332215,10,2.22859227996469,1.98806661373055,2.55184894275953,0.24052566623414,0.32325666279484,1.21008750673211,0.871488927955195,1.79846711206432,0.338598578776911,0.588379605332215,7,3,10,2.46580486581616,2.40125043674834,2.57375269133809,0.0645544290678153,0.107947825521935,0.874633572920194,0.79783925551083,0.961200093440194,0.076794317409364,0.0865665205200005,10,2.46580486581616,2.40125043674834,2.57375269133809,0.0645544290678153,0.107947825521935,0.874633572920194,0.79783925551083,2.63715637683455,0.076794317409364,1.76252280391436,1,5,6,2.46580486581616,2.40125043674834,2.56351595070919,0.0645544290678153,0.0977110848930347,0.912129654325746,0.828482235315649,0.95734520417547,0.0836474190100972,0.0452155498497238,6,2.46580486581616,2.40125043674834,2.56351595070919,0.0645544290678153,0.0977110848930347,2.93901750810371,2.01028953255525,3.55754820104335,0.928727975548461,0.618530692939642
3,R3,109,1,,21,13,10,0,10,2.13736137822888,1.89966449379062,2.36552369624678,0.237696884438265,0.228162318017895,0.559059208315854,0.453613403801891,0.839091384774316,0.105445804513963,0.280032176458462,10,2.13736137822888,1.89966449379062,2.36552369624678,0.237696884438265,0.228162318017895,0.559059208315854,0.453613403801891,0.839091384774316,0.105445804513963,0.280032176458462,1,0,1,2.38843059807914,2.38843059807914,2.38843059807914,0,0,0.587639320225002,0.587639320225002,0.587639320225002,0,0,1,2.38843059807914,2.38843059807914,2.38843059807914,0,0,0.587639320225002,0.587639320225002,0.587639320225002,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,R4,96,1,,21,14,4,0,4,1.77162891639591,1.66157529065913,2.0288951122343,0.11005362573678,0.257266195838385,0.503132432458803,0.294545908991831,0.629013624587772,0.208586523466972,0.125881192128969,4,1.77162891639591,1.66157529065913,2.0288951122343,0.11005362573678,0.257266195838385,0.503132432458803,0.294545908991831,0.629013624587772,0.208586523466972,0.125881192128969,0,2,2,2.25065684671654,2.10101518253487,2.40029851089821,0.14964166418167,0.14964166418167,0.677330390099274,0.677040447728172,0.677620332470376,0.000289942371101914,0.000289942371101803,2,2.25065684671654,2.10101518253487,2.40029851089821,0.14964166418167,0.14964166418167,2.69282540438639,2.24502899224349,3.14062181652929,0.4477964121429,0.4477964121429,0,2,2,2.25065684671654,2.10101518253487,2.40029851089821,0.14964166418167,0.14964166418167,0.679066841817214,0.671284518542355,0.686849165092073,0.00778232327485895,0.00778232327485895,2,2.25065684671654,2.10101518253487,2.40029851089821,0.14964166418167,0.14964166418167,1.83044624448696,1.54345221813497,2.11744027083896,0.286994026351991,0.286994026351991
5,R5,90,1,,21,17,17,0,17,2.20645801170031,2.11688053917533,2.32018058631274,0.0895774725249825,0.113722574612432,0.595059216299178,0.548866827979023,0.657871350235452,0.0461923883201554,0.0628121339362739,17,2.20645801170031,2.11688053917533,2.32018058631274,0.0895774725249825,0.113722574612432,0.595059216299178,0.548866827979023,0.657871350235452,0.0461923883201554,0.0628121339362739,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,R6,81,1,,21,19,11,0,11,2.06214020341758,1.59219291856334,2.1141442807807,0.469947284854243,0.0520040773631152,0.574809228688455,0.418854546161597,0.728751864087416,0.155954682526858,0.153942635398961,11,2.06214020341758,1.59219291856334,2.1141442807807,0.469947284854243,0.0520040773631152,0.574809228688455,0.418854546161597,0.728751864087416,0.155954682526858,0.153942635398961,1,6,7,2.17446178905902,2.06870758209607,2.23005775142815,0.10575420696295,0.0555959623691327,0.664867770950757,0.563829203976013,0.741620411164328,0.101038566974744,0.0767526402135715,7,2.17446178905902,2.06870758209607,2.23005775142815,0.10575420696295,0.0555959623691327,1.33003147937467,1.12429038883849,2.08516246297369,0.205741090536184,0.755130983599022,0,2,2,2.10236058646524,1.98157512373291,2.22314604919757,0.12078546273233,0.12078546273233,0.567896114990142,0.486817214924112,0.648975015056173,0.0810789000660304,0.0810789000660304,2,2.10236058646524,1.98157512373291,2.22314604919757,0.12078546273233,0.12078546273233,2.21165957968886,1.600143966089,2.82317519328872,0.611515613599859,0.611515613599859
7,R7,70,1,,21,18,18,0,18,1.98507583058245,1.81256818461497,2.09604969425527,0.172507645967475,0.110973863672825,0.57744043552295,0.480914854400339,0.784029769331066,0.0965255811226104,0.206589333808116,18,1.98507583058245,1.81256818461497,2.09604969425527,0.172507645967475,0.110973863672825,0.57744043552295,0.480914854400339,0.784029769331066,0.0965255811226104,0.206589333808116,2,0,2,2.02226079316006,1.94923428208222,2.0952873042379,0.0730265110778401,0.0730265110778401,0.482066654717936,0.474060005384782,0.490073304051091,0.00800664933315443,0.00800664933315443,2,2.02226079316006,1.94923428208222,2.0952873042379,0.0730265110778401,0.0730265110778401,0.482066654717936,0.474060005384782,0.490073304051091,0.00800664933315443,0.00800664933315443,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,R8,61,1,,21,18,16,0,16,1.88356153065524,1.52136281502407,2.00524209887999,0.362198715631165,0.12168056822475,0.376053226743019,0.3153824581982,0.468795763904652,0.0606707685448195,0.0927425371616331,16,1.88356153065524,1.52136281502407,2.00524209887999,0.362198715631165,0.12168056822475,0.376053226743019,0.3153824581982,0.468795763904652,0.0606707685448195,0.0927425371616331,0,2,2,1.7757069948193,1.73444621860926,1.81696777102934,0.0412607762100399,0.0412607762100401,0.460088611345979,0.447996924510482,0.472180298181476,0.0120916868354974,0.0120916868354974,2,1.7757069948193,1.73444621860926,1.81696777102934,0.0412607762100399,0.0412607762100401,3.51603734548806,2.7270890807061,4.30498561027002,0.788948264781959,0.788948264781959,0,2,2,1.7757069948193,1.73444621860926,1.81696777102934,0.0412607762100399,0.0412607762100401,0.449692417721197,0.435510426902116,0.463874408540278,0.014181990819081,0.0141819908190811,2,1.7757069948193,1.73444621860926,1.81696777102934,0.0412607762100399,0.0412607762100401,2.25859199896514,1.80002321752667,2.71716078040361,0.458568781438469,0.458568781438469
9,R9,51,1,,21,20,17,0,17,1.75589118908556,1.4334451850832,1.86102611794922,0.32244600400236,0.105134928863665,0.317105825964056,0.196895769503231,0.402597720148912,0.120210056460825,0.0854918941848561,17,1.75589118908556,1.4334451850832,1.86102611794922,0.32244600400236,0.105134928863665,0.317105825964056,0.196895769503231,0.402597720148912,0.120210056460825,0.0854918941848561,0,3,3,1.58545076683095,1.41102239945735,1.65970166295461,0.174428367373598,0.074250896123655,0.35934161370787,0.347558792705127,0.371884615910326,0.0117828210027436,0.0125430022024556,3,1.58545076683095,1.41102239945735,1.65970166295461,0.174428367373598,0.074250896123655,1.54723071584553,1.02208541953567,1.58359887011885,0.525145296309861,0.0363681542733201,0,3,3,1.58545076683095,1.41102239945735,1.65970166295461,0.174428367373598,0.074250896123655,0.356746667696079,0.344874596617802,0.406399563883957,0.0118720710782775,0.0496528961878776,3,1.58545076683095,1.41102239945735,1.65970166295461,0.174428367373598,0.074250896123655,1.04580201897843,0.670447921497574,1.07134140111703,0.375354097480859,0.025539382138595
10,R10,40,1,,21,16,15,0,15,1.61565848714417,1.49354402874155,1.69805147948796,0.122114458402617,0.0823929923437852,0.189160672403238,0.139343855203499,0.22017280401023,0.0498168171997393,0.0310121316069916,15,1.61565848714417,1.49354402874155,1.69805147948796,0.122114458402617,0.0823929923437852,0.189160672403238,0.139343855203499,0.22017280401023,0.0498168171997393,0.0310121316069916,0,1,1,1.75866030224915,1.75866030224915,1.75866030224915,0,0,0.201898743537325,0.201898743537325,0.201898743537325,0,0,1,1.75866030224915,1.75866030224915,1.75866030224915,0,0,1.32103024450793,1.32103024450793,1.32103024450793,0,0,0,1,1,1.75866030224915,1.75866030224915,1.75866030224915,0,0,0.197667525511768,0.197667525511768,0.197667525511768,0,0,1,1.75866030224915,1.75866030224915,1.75866030224915,0,0,0.861311411281855,0.861311411281855,0.861311411281855,0,0
