case,profileIndex,rowCoord,U_initial,U_accepted
R1,1,194,0.106906377,1.058635998
R1,2,199,1.312182088,1.352544705
R1,3,204,2.015805922,1.782338044
R1,4,209,2.154761692,2.010266632
R1,5,214,2.186183215,2.162424595
R1,6,219,2.317854831,2.207809665
R1,7,224,2.275404856,2.211001468
R1,8,229,2.360286815,2.28760845
R1,9,234,2.485837937,2.331410247
R1,10,239,2.642810554,2.603982105
R1,11,244,2.580409483,2.671724529
R1,12,249,2.545385853,2.758496302
R1,13,254,2.665678255,2.685742245
R1,14,259,2.650403001,2.676560983
R1,15,264,2.676311407,2.798308132
R1,16,269,2.866859692,2.586805606
R1,17,274,2.847955453,2.732889402
R1,18,279,2.714529954,2.701206878
R1,19,284,2.6185133,2.615921769
R1,20,289,2.586715893,2.727427472
R1,21,294,2.426227968,2.830665519
R2,1,160,1.363025145,1.34876464
R2,2,165,1.618661212,1.505240882
R2,3,170,2.003643835,1.962274226
R2,4,175,2.205694951,2.180229641
R2,5,180,2.410763059,2.385274846
R2,6,185,2.438155546,2.400242682
R2,7,190,2.588769408,2.561569055
R2,8,195,2.531665243,2.689206887
R2,9,200,2.804572109,2.720411285
R2,10,205,2.677716961,2.873993611
R2,11,210,2.961398077,2.676864524
R2,12,215,2.843038913,2.832894421
R2,13,220,2.808209953,2.798662391
R2,14,225,2.753985772,2.711933218
R2,15,230,2.764539283,2.838787576
R2,16,235,2.784898178,2.96474143
R2,17,240,2.785783915,3.069843221
R2,18,245,2.981983871,3.043066522
R2,19,250,3.062075189,2.867763921
R2,20,255,2.895314741,2.761009902
R2,21,260,2.824585153,2.648097187
R3,1,147,0.240009578,0.243943714
R3,2,152,1.738971749,1.739861969
R3,3,157,1.882044025,1.894595627
R3,4,162,1.943550738,1.939140887
R3,5,167,1.898798989,1.907201511
R3,6,172,1.945735031,1.976920738
R3,7,177,2.007638497,2.067101227
R3,8,182,2.022536237,2.028266756
R3,9,187,2.14755904,2.142686201
R3,10,192,2.294205026,2.260768693
R3,11,197,2.327614352,2.473834472
R3,12,202,2.622236997,2.623345198
R3,13,207,2.644536265,2.605214221
R3,14,212,2.520020053,2.53610845
R3,15,217,2.706225748,2.667781206
R3,16,222,2.733910982,2.563715138
R3,17,227,2.7787902,2.768071408
R3,18,232,2.481677911,2.561417736
R3,19,237,2.798686401,2.788475416
R3,20,242,2.391600951,2.429787199
R3,21,247,2.260635148,2.328333223
R4,1,174,1.078238324,0.916102358
R4,2,179,1.356615899,1.362666831
R4,3,184,1.417082282,1.391331668
R4,4,189,1.878675282,1.894732076
R4,5,194,1.989741594,2.001168538
R4,6,199,2.132090703,2.151421119
R4,7,204,2.111135411,2.118910641
R4,8,209,2.149319013,2.160656475
R4,9,214,2.264647623,2.241183523
R4,10,219,2.480360631,2.523922313
R4,11,224,2.549099739,2.389609479
R4,12,229,2.493531072,2.508994879
R4,13,234,2.413648664,2.395150276
R4,14,239,2.34760051,2.422122476
R4,15,244,2.547762343,2.478591687
R4,16,249,2.445985354,2.50327754
R4,17,254,2.466985058,2.459945312
R4,18,259,2.530114454,2.451177497
R4,19,264,2.507020658,2.472833277
R4,20,269,2.375161019,2.417956385
R4,21,274,2.406306718,2.380868798
R5,1,164,0.624837625,0.484564085
R5,2,169,1.561103059,1.489156014
R5,3,174,1.566532754,1.569708114
R5,4,179,1.786149377,1.877935956
R5,5,184,1.881702056,1.919457972
R5,6,189,2.08677717,2.135582507
R5,7,194,2.150975986,2.086475432
R5,8,199,2.269944225,2.106042664
R5,9,204,2.233920643,2.322972941
R5,10,209,2.325399714,2.285175772
R5,11,214,2.186104007,2.25573494
R5,12,219,2.183666086,2.255689374
R5,13,224,2.258987288,2.347456049
R5,14,229,2.25934098,2.350882072
R5,15,234,2.138556058,2.172885889
R5,16,239,2.228417752,2.318642083
R5,17,244,2.198718189,2.206083214
R5,18,249,1.935433416,2.072459037
R5,19,254,2.348182854,2.23341503
R5,20,259,1.985800388,2.030476037
R5,21,264,2.134305514,2.055314658
R6,1,149,0.624729635,0.462056658
R6,2,154,1.487594857,1.39326994
R6,3,159,1.624185027,1.613002398
R6,4,164,1.761603694,1.741444048
R6,5,169,1.859465948,1.874089635
R6,6,174,1.846319475,1.814667243
R6,7,179,1.992825467,1.937709575
R6,8,184,2.011985779,1.964172554
R6,9,189,2.062570539,2.099104491
R6,10,194,2.09459236,2.044352682
R6,11,199,2.09492581,2.156270778
R6,12,204,2.263846365,2.185068191
R6,13,209,2.308008079,2.343479069
R6,14,214,2.225128531,2.139836941
R6,15,219,2.202966311,2.162246567
R6,16,224,2.196031126,2.19655031
R6,17,229,2.275981805,2.490431465
R6,18,234,2.351848573,2.324767834
R6,19,239,2.232231073,2.223821187
R6,20,244,2.291587844,2.216096351
R6,21,249,2.123813949,2.256116512
R7,1,166,0.534084734,0.612207565
R7,2,171,1.608822982,1.633353474
R7,3,176,1.691804067,1.669884038
R7,4,181,1.704072553,1.680708161
R7,5,186,1.76621763,1.731582644
R7,6,191,1.819120764,1.811523538
R7,7,196,1.887058467,1.884905588
R7,8,201,1.942350106,1.939585934
R7,9,206,2.15350723,2.133313876
R7,10,211,2.083973274,2.03413685
R7,11,216,1.932289075,2.048683209
R7,12,221,2.185942076,2.016284664
R7,13,226,2.034029319,2.101403035
R7,14,231,2.115661175,2.194954712
R7,15,236,1.912914931,1.91856621
R7,16,241,1.972073754,1.960119366
R7,17,246,1.948054054,2.049184432
R7,18,251,1.936144015,2.008335754
R7,19,256,2.03706741,1.908996566
R7,20,261,2.085493914,2.059743539
R7,21,266,2.130334659,2.093056771
R8,1,167,0.949804548,0.919848269
R8,2,172,1.465935445,1.480240111
R8,3,177,1.567384758,1.511938336
R8,4,182,1.606749991,1.553100329
R8,5,187,1.644795786,1.61272228
R8,6,192,1.653004954,1.720791007
R8,7,197,1.735148768,1.732117601
R8,8,202,1.964093873,1.850358306
R8,9,207,1.950571544,1.872736514
R8,10,212,1.870783588,1.765074416
R8,11,217,1.66422709,1.668680809
R8,12,222,1.679157683,1.689544967
R8,13,227,1.670686392,1.662895212
R8,14,232,1.697744145,1.70978319
R8,15,237,1.745707388,1.782112378
R8,16,242,1.790429238,1.869156894
R8,17,247,1.834874916,1.75350936
R8,18,252,1.903484599,1.877575971
R8,19,257,2.031786858,2.007009081
R8,20,262,2.014055673,2.146748622
R8,21,267,1.701351863,1.764713051
R9,1,207,1.058023016,1.069548434
R9,2,212,1.144333583,1.121277053
R9,3,217,1.178058342,1.153595456
R9,4,222,1.249239204,1.265235591
R9,5,227,1.358280613,1.329917567
R9,6,232,1.455393478,1.477161011
R9,7,237,1.624848047,1.645217231
R9,8,242,1.555259226,1.623214939
R9,9,247,1.582344498,1.600888989
R9,10,252,1.542622654,1.579266322
R9,11,257,1.541674138,1.526819221
R9,12,262,1.520557409,1.529967293
R9,13,267,1.577006593,1.529898828
R9,14,272,1.544797083,1.546345077
R9,15,277,1.630502901,1.60235389
R9,16,282,1.655167982,1.77027098
R9,17,287,1.710713017,1.718431131
R9,18,292,1.747866908,1.707382273
R9,19,297,1.659689545,1.693463652
R9,20,302,1.67726473,1.68761483
R9,21,307,1.643432215,1.646565696
R10,1,175,0.828043755,0.803084937
R10,2,180,0.822999184,0.971468351
R10,3,185,0.777099763,0.733968694
R10,4,190,1.027570276,1.057687373
R10,5,195,1.218215626,1.216171399
R10,6,200,1.300959295,1.098719479
R10,7,205,1.541400372,1.341660613
R10,8,210,1.419970888,1.298221738
R10,9,215,1.141896112,1.169009903
R10,10,220,1.222376844,1.202621857
R10,11,225,1.335750884,1.315499633
R10,12,230,1.268225924,1.338774611
R10,13,235,1.503291656,1.426648102
R10,14,240,1.263234333,1.2176606
R10,15,245,1.314285626,1.303553482
R10,16,250,1.125547992,0.977920913
R10,17,255,1.055001032,1.20858063
R10,18,260,1.110942625,1.136899767
R10,19,265,1.31864124,1.435497145
R10,20,270,1.288869979,1.293261834
R10,21,275,1.205717376,1.005400813
R11,1,181,0.564818811,0.650058528
R11,2,186,0.810474122,0.821916443
R11,3,191,0.91542775,0.91591998
R11,4,196,0.897446978,0.921153474
R11,5,201,0.987141287,1.028043862
R11,6,206,1.092699702,1.086418099
R11,7,211,1.034345431,1.049492277
R11,8,216,1.106272919,1.101407928
R11,9,221,0.969256415,0.951409797
R11,10,226,1.065287317,1.03552309
R11,11,231,1.087402854,1.085189842
R11,12,236,1.022943989,1.038253248
R11,13,241,1.035683932,1.027616247
R11,14,246,1.075099339,1.038335193
R11,15,251,1.124105245,1.091897515
R11,16,256,1.065344748,1.093480843
R11,17,261,1.082413257,1.016704057
R11,18,266,1.138836775,1.105160416
R11,19,271,0.989298853,0.992016716
R11,20,276,0.934087684,0.961709251
R11,21,281,1.152875224,1.116940397
R12,1,190,0.507502739,0.485014342
R12,2,195,0.586124934,0.619812789
R12,3,200,0.65813168,0.662444928
R12,4,205,0.729011465,0.716871919
R12,5,210,0.722815878,0.715023167
R12,6,215,0.8131827,0.741144694
R12,7,220,0.775077268,0.774500984
R12,8,225,0.831106012,0.805850457
R12,9,230,0.814077973,0.829516609
R12,10,235,0.688412245,0.746108197
R12,11,240,0.795726848,0.767165447
R12,12,245,0.7968235,0.821091421
R12,13,250,0.819485637,0.754714184
R12,14,255,0.846979324,0.858261589
R12,15,260,0.731347628,0.76194682
R12,16,265,0.775872283,0.749208833
R12,17,270,0.798778271,0.810066178
R12,18,275,0.842479217,0.832742246
R12,19,280,0.780153817,0.845947828
R12,20,285,0.663344419,0.718659622
R12,21,290,0.66273043,0.574235682
R13,1,190,0.520204627,0.392938288
R13,2,195,0.573499182,0.549073335
R13,3,200,0.629909041,0.658367925
R13,4,205,0.605229904,0.614457519
R13,5,210,0.68938301,0.689876113
R13,6,215,0.733939236,0.714998155
R13,7,220,0.770499656,0.781055355
R13,8,225,0.785194682,0.789286879
R13,9,230,0.762105443,0.748181865
R13,10,235,0.671240487,0.642540724
R13,11,240,0.641965585,0.618227097
R13,12,245,0.700155598,0.691457174
R13,13,250,0.748590494,0.732886148
R13,14,255,0.689246405,0.686675641
R13,15,260,0.661766146,0.663024299
R13,16,265,0.681837312,0.732644456
R13,17,270,0.762393001,0.740456945
R13,18,275,0.752261663,0.761824748
R13,19,280,0.766530987,0.760629098
R13,20,285,0.765312357,0.732990708
R13,21,290,0.648684822,0.673938242
