filename_in	sweep_value
devon_dart20180326_16360	15
devon_dart20180315_17200	30
devon_dart20180315_08180	51
devon_dart20181201_14070	61
devon_dart20181201_11210	70
devon_dart20181207_14260	81
devon_dart20181127_14580	90
devon_dart20181012_15520	96
devon_dart20181129_13490	109
devon_dart20181207_12110	123
devon_dart20181012_15070	127
devon_dart20181207_09260	141
devon_dart20181129_10490	152
devon_dart20181012_12520	175
devon_dart20181012_13520	182
devon_dart20181213_13000	20
devon_dart20181130_12350	40
devon_dart20181207_12260	117
# Add more cases below, for example:
# another_filename_here	110
