caseNumber,caseLabel,videoIdentifier,sweepValue,discharge_Q_m3ps,flowExceedance_percent,hydraulicDepth_D_m,sectionMeanVelocity_u_mps,froudeNumber,reynoldsNumber_Rh,meanSeedingDensity_pts_m2,displaySeedingDensity_pts_m2
1,R1,devon_dart20181207_12110,123,123.373733333333,0.311088108375954,1.78680209592221,2.09236454914556,0.499763601760396,2713317.14580041,2007.03965133355,2007
2,R2,devon_dart20181207_12260,117,117.248533333333,0.352096179359602,1.7487504985252,2.05109286935303,0.495207137313332,2605546.28442967,2241.23516395091,2241
3,R3,devon_dart20181129_13490,109,109.236133333333,0.417190980208645,1.69746165089172,1.99409163903464,0.488664312252533,2461940.731035,5004.24838145645,5004
4,R4,devon_dart20181012_15520,96,96.4746,0.56165624102604,1.61145623286966,1.89577661960127,0.476807855507147,2226792.1639183,4264.24890617404,4264
5,R5,devon_dart20181127_14580,90,90.444,0.652325967864885,1.56932344432764,1.84460102191477,0.470123228371828,2112328.98557744,4903.72549019608,4904
6,R6,devon_dart20181207_14260,81,80.7891333333333,0.841161520539587,1.49760401762228,1.7573357780204,0.458481429035457,1924099.24072776,3826.60491381018,3827
7,R7,devon_dart20181201_11210,70,70.1638,1.16674576153476,1.40343004535165,1.65126642961655,0.445027924781098,1699014.51411933,5665.50708065793,5666
8,R8,devon_dart20181201_14070,61,60.9711333333333,1.59677932311328,1.3837687989226,1.54687654804119,0.419845385820423,1565984.74596886,4492.86281029206,4493
9,R9,devon_dart20180315_08180,51,51.0508,2.37615314530251,1.31191861751126,1.41563173174028,0.394604776253546,1357701.98281993,5890.06401707122,5890
10,R10,devon_dart20181130_12350,40,39.9106666666667,4.21275251794517,1.21816221380994,1.24233322094208,0.35937762400737,1105656.56148698,1088.28739067862,1088
11,R11,devon_dart20180315_17200,30,29.79,8.01140068468045,1.10242880469332,1.04780706365072,0.318618905995688,846057.480159377,3264.04805914972,3264
12,R12,devon_dart20181213_13000,20,19.97,15.9389663210193,0.978615155476307,0.806336705450243,0.260241142896788,580060.754632271,3448.97530215449,3449
13,R13,devon_dart20180326_16360,15,14.592,24.0696982875272,0.883050310546619,0.655363729142348,0.222666649543539,427404.519281486,3094.35377875137,3094
