caseNumber,caseLabel,hydraulicDepth_D_m,lambda_m,lambdaEst_m,deltaU_percent,A_m,Aest_m,suppressEstimates
1,S1,0.88,0.63,0.628787427538266,-0.0962822610303776,0.02,0.021397397825549,0
2,S2,0.88,1.52,1.5216369403963,0.0538322340154192,0.02,0.0300981649143523,0
3,S3,0.88,1.52,1.52831708150212,0.273214975193134,0.04,0.0519466700824432,0
4,S4,0.88,1.52,1.52522203309304,0.171630119885958,0.06,0.0869197029299175,0
5,S5,0.88,1.52,1.55071662226994,1.00536144804206,0.08,0.0925365769559357,0
6,S6,0.88,3.46,3.4718541316835,0.171156009078182,0.02,0.0340980123245754,0
7,S7,0.88,3.46,3.44407139648988,-0.230447662274304,0.04,0.0639886394785117,0
8,S8,0.88,3.46,3.46072294249428,0.0104466002137465,0.06,0.0829146068033424,0
9,S9,0.88,3.46,3.49752092946404,0.540747921778574,0.1,0.109400078852686,0
10,S10,1.1,0.63,0.628959610427828,-0.0826047186637394,0.02,0.0203771733454778,0
11,S11,1.1,1.55,1.55106993606021,0.0345081124093018,0.02,0.0298241923137539,0
12,S12,1.1,1.55,1.55503040099279,0.162139553593257,0.04,0.0522041745347451,0
13,S13,1.1,1.55,1.56287890700083,0.414589191939571,0.06,0.0779210256863053,0
14,S14,1.1,1.55,1.57105057229159,0.676760693899572,0.08,0.100686315293096,0
15,S15,1.1,3.46,3.42594239440176,-0.493379045020782,0.02,0.0336618757487577,0
16,S16,1.1,3.46,3.44624948653115,-0.198904657349014,0.04,0.0613499762687752,0
17,S17,1.1,3.46,3.46178661203527,0.0258147609858815,0.06,0.0773724245208632,0
18,S18,1.1,3.46,3.51715737878331,0.822590406951735,0.1,0.0949099760674471,0
19,S19,1.5,0.63,NaN,NaN,0.02,NaN,1
20,S20,1.5,1.58,1.58474860762864,0.150159653703324,0.02,0.0304347201560995,0
21,S21,1.5,1.58,1.59792114998172,0.565525901694128,0.04,0.0527375518903864,0
22,S22,1.5,1.58,1.59174463023327,0.370977392581891,0.06,0.103194939198183,0
23,S23,1.5,1.58,1.62610292187705,1.4484629986649,0.08,0.091288711386237,0
24,S24,1.5,3.51,3.52415312363441,0.201408620621315,0.02,0.0335965966197864,0
25,S25,1.5,3.51,3.50707727611433,-0.0416429140470243,0.04,0.0620380121639937,0
26,S26,1.5,3.51,3.51190271411323,0.0271005174569759,0.06,0.0798667971604118,0
27,S27,1.5,3.51,3.49922707492797,-0.153578402740551,0.1,0.0875392709302014,0
28,S28,1.7,1.59,1.6000293784031,0.314893468476619,0.02,0.0298510218968659,0
29,S29,1.7,1.59,1.61961683717644,0.927049972760045,0.04,0.0622309956097069,0
30,S30,1.7,1.59,4.71967464657694,72.2889675610461,0.06,0.0963531149978189,0
31,S31,1.7,1.59,1.62045379041581,0.953124137172603,0.1,0.115467896457412,0
32,S32,1.7,3.54,3.51263006013172,-0.387331198873963,0.02,0.0306244140122544,0
33,S33,1.7,3.54,3.53320681880458,-0.0959949621047337,0.04,0.0623155847451926,0
34,S34,1.7,3.54,3.58297352394618,0.605139706881665,0.06,0.087378343121145,0
35,S35,1.7,3.54,7.11871197153563,41.8074604941347,0.1,0.128818141394395,0
36,S36,1.7,4.98,4.82098291950874,-1.60950963944206,0.02,0.0283497630759666,0
37,S37,1.7,4.98,5.02495494815386,0.45034086666228,0.04,0.0605011645360719,0
38,S38,1.7,4.98,5.17418706925085,1.9310250806774,0.06,0.0810874402455465,0
39,S39,1.7,4.98,5.31688781988625,3.32706115068135,0.1,0.103144268448523,0
