caseNumber,caseLabel,surfaceVelocityKLT_mps,lambdaEst_m,amplitudeEst_m,velocityDeep_mps,velocityConstant_mps,velocityLinear_mps,velocityPower_mps,depthConstant_m,depthLinear_m,depthPower_m
1,R1,2.36028681512463,4.39854715634169,0.097618675018166,2.62059070140654,2.6184880600143,2.73598422797777,2.69876726379092,0.787792262835361,2.28769796244205,2.58507881442631
2,R2,2.7848981780467,4.82347636452844,0.104651424645626,2.74425615473828,2.73899450276401,2.87734375080598,2.83707359256575,1.21008750673211,0.874633572920194,2.93901750810371
3,R3,2.26063514809263,3.81443527884881,0.0620167533758422,2.44039257368149,2.43945765955805,2.53840488755888,2.50558289159041,0.559059208315854,0.587639320225002,NaN
4,R4,2.40997769109036,3.19136090530974,0.0701988996351338,2.23195920744607,2.23177424530324,2.30640702612809,2.28007509500697,0.503132432458803,2.69282540438639,1.83044624448696
5,R5,2.1861040068803,4.2583046180379,0.0884292814231549,2.57847504311733,2.57535661758912,2.69838716318442,2.66074518616339,0.595059216299178,NaN,NaN
6,R6,2.12381394867017,3.11268495760921,0.0989693952337802,2.20451040492613,2.20409724194933,2.30064692779539,2.26807845868973,0.574809228688455,1.33003147937467,2.21165957968886
7,R7,1.96006390405681,3.10021470770948,0.0590368579133519,2.20008486792961,2.19720200269931,2.29846315292473,2.26740648207122,0.57744043552295,0.482066654717936,NaN
8,R8,1.74042807838689,3.0321525818623,0.0536665812186629,2.17566633712018,2.17279558233083,2.27510718670902,2.2438053802693,0.376053226743019,3.51603734548806,2.25859199896514
9,R9,1.55002815429713,2.00524215609662,0.0373272208350954,1.76938673135005,1.76936947363724,1.81722974141739,1.79959982860897,0.317105825964056,1.54723071584553,1.04580201897843
10,R10,1.278547951852,1.73008706091702,0.0386242072669666,1.64351640388629,1.64350972278846,1.6846323036119,1.66930978387261,0.189160672403238,1.32103024450793,0.861311411281855
11,R11,1.07509933894195,1.1674492518014,0.0254228116864806,1.35009265670064,1.35009239208218,1.3771056390573,1.36678173248826,0.140219091302242,NaN,NaN
